"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CG0073","HP0001","HP0015","HP0047","HP0048","HP0069","HP0076","HP0077","Neisseria_cinerea_ATCC_14685","Neisseria_elongata_subsp_glycolytica_ATCC_29315","Neisseria_flavescens_NRL30031","Neisseria_gonorrhoeae_FA1090","Neisseria_lactamica_ATCC_23970","Neisseria_meningitidis_MC58","Neisseria_mucosa_ATCC_25996","Neisseria_polysaccharea_ATCC_43768","Neisseria_sicca_ATCC_29256","Neisseria_subflava_NJ9703","TT0073","TT0074"
"group_7460","","hypothetical protein","1","1","1","1","3290","1","5785","","197","197","197","","","","","","HHMKECDE_01984","","","","","","","","","","","","","",""
"group_7461","","hypothetical protein","1","1","1","1","3742","1","3292","","599","599","599","","","","","","HHMKECDE_02017","","","","","","","","","","","","","",""
"group_7462","","hypothetical protein","1","1","1","1","2446","1","3089","","1046","1046","1046","","","","","","HHMKECDE_02067","","","","","","","","","","","","","",""
"group_7463","","hypothetical protein","1","1","1","1","585","1","3467","","950","950","950","","","","","","HHMKECDE_02113","","","","","","","","","","","","","",""
"group_7464","","hypothetical protein","1","1","1","1","574","1","3458","","191","191","191","","","","","","HHMKECDE_02121","","","","","","","","","","","","","",""
"group_7465","","hypothetical protein","1","1","1","1","573","1","3482","","335","335","335","","","","","","HHMKECDE_02122","","","","","","","","","","","","","",""
"group_7466","","hypothetical protein","1","1","1","1","4615","1","3522","","107","107","107","","","","","","HHMKECDE_02134","","","","","","","","","","","","","",""
"group_7467","","hypothetical protein","1","1","1","1","4605","1","3629","","656","656","656","","","","","","HHMKECDE_02139","","","","","","","","","","","","","",""
"group_7468","","hypothetical protein","1","1","1","1","4604","1","3628","","983","983","983","","","","","","HHMKECDE_02140","","","","","","","","","","","","","",""
"group_7469","","hypothetical protein","1","1","1","1","4929","1","3530","","629","629","629","","","","","","HHMKECDE_02155","","","","","","","","","","","","","",""
"group_7470","","hypothetical protein","1","1","1","1","1241","1","5217","","221","221","221","","","","","","HHMKECDE_02196","","","","","","","","","","","","","",""
"group_7471","","hypothetical protein","1","1","1","1","3367","1","5227","","1229","1229","1229","","","","","","HHMKECDE_02200","","","","","","","","","","","","","",""
"group_7472","","hypothetical protein","1","1","1","1","1428","1","5228","","2015","2015","2015","","","","","","HHMKECDE_02201","","","","","","","","","","","","","",""
"group_7473","","hypothetical protein","1","1","1","1","1429","1","5229","","512","512","512","","","","","","HHMKECDE_02202","","","","","","","","","","","","","",""
"group_7474","","hypothetical protein","1","1","1","1","1430","1","5230","","770","770","770","","","","","","HHMKECDE_02203","","","","","","","","","","","","","",""
"group_7475","","hypothetical protein","1","1","1","1","1411","1","5247","","260","260","260","","","","","","HHMKECDE_02215","","","","","","","","","","","","","",""
"group_7476","","hypothetical protein","1","1","1","1","3776","1","4278","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","197","197","197","","","","","","","DCPLGDCJ_00009","","","","","","","","","","","","",""
"sthA","","Soluble pyridine nucleotide transhydrogenase","1","1","1","1","3789","1","4291","","506","506","506","","","","","","","DCPLGDCJ_00022","","","","","","","","","","","","",""
"group_7478","","hypothetical protein","1","1","1","1","1987","1","1091","","305","305","305","","","","","","","DCPLGDCJ_00032","","","","","","","","","","","","",""
"group_7479","","hypothetical protein","1","1","1","1","917","1","1877","","314","314","314","","","","","","","DCPLGDCJ_00043","","","","","","","","","","","","",""
"group_7480","","hypothetical protein","1","1","1","1","918","1","1878","","443","443","443","","","","","","","DCPLGDCJ_00044","","","","","","","","","","","","",""
"group_7481","","hypothetical protein","1","1","1","1","923","1","2044","","389","389","389","","","","","","","DCPLGDCJ_00046","","","","","","","","","","","","",""
"group_7482","ygiD","4,5-DOPA dioxygenase extradiol","1","1","1","1","924","1","1873","","785","785","785","","","","","","","DCPLGDCJ_00048","","","","","","","","","","","","",""
"group_7483","","hypothetical protein","1","1","1","1","941","1","2580","","506","506","506","","","","","","","DCPLGDCJ_00053","","","","","","","","","","","","",""
"group_7484","","hypothetical protein","1","1","1","1","942","1","2581","","1181","1181","1181","","","","","","","DCPLGDCJ_00054","","","","","","","","","","","","",""
"group_7485","","hypothetical protein","1","1","1","1","953","1","2574","","641","641","641","","","","","","","DCPLGDCJ_00065","","","","","","","","","","","","",""
"group_7486","","hypothetical protein","1","1","1","1","952","1","2573","","1505","1505","1505","","","","","","","DCPLGDCJ_00066","","","","","","","","","","","","",""
"group_7487","","hypothetical protein","1","1","1","1","1890","1","5343","","101","101","101","","","","","","","DCPLGDCJ_00070","","","","","","","","","","","","",""
"group_7488","","hypothetical protein","1","1","1","1","1817","1","2486","","344","344","344","","","","","","","DCPLGDCJ_00076","","","","","","","","","","","","",""
"group_7489","","hypothetical protein","1","1","1","1","1816","1","2685","","188","188","188","","","","","","","DCPLGDCJ_00079","","","","","","","","","","","","",""
"group_7490","","hypothetical protein","1","1","1","1","980","1","2565","","1451","1451","1451","","","","","","","DCPLGDCJ_00081","","","","","","","","","","","","",""
"group_7491","","hypothetical protein","1","1","1","1","981","1","2564","","410","410","410","","","","","","","DCPLGDCJ_00082","","","","","","","","","","","","",""
"hchA","","Protein/nucleic acid deglycase HchA","1","1","1","1","982","1","2563","","866","866","866","","","","","","","DCPLGDCJ_00084","","","","","","","","","","","","",""
"group_7493","","hypothetical protein","1","1","1","1","983","1","2562","","902","902","902","","","","","","","DCPLGDCJ_00085","","","","","","","","","","","","",""
"group_7494","","hypothetical protein","1","1","1","1","988","1","2469","","206","206","206","","","","","","","DCPLGDCJ_00087","","","","","","","","","","","","",""
"group_7495","","hypothetical protein","1","1","1","1","987","1","2468","","746","746","746","","","","","","","DCPLGDCJ_00088","","","","","","","","","","","","",""
"group_7497","","hypothetical protein","1","1","1","1","985","1","2466","","1376","1376","1376","","","","","","","DCPLGDCJ_00090","","","","","","","","","","","","",""
"group_7498","","hypothetical protein","1","1","1","1","984","1","2465","","803","803","803","","","","","","","DCPLGDCJ_00091","","","","","","","","","","","","",""
"group_7499","","hypothetical protein","1","1","1","1","1912","1","2464","","1196","1196","1196","","","","","","","DCPLGDCJ_00092","","","","","","","","","","","","",""
"group_75","","hypothetical protein","1","1","1","1","1788","1","5352","","653","653","653","HMOAHFMJ_00214","","","","","","","","","","","","","","","","","","",""
"group_7500","umuD","Protein UmuD","1","1","1","1","1913","1","2463","","461","461","461","","","","","","","DCPLGDCJ_00093","","","","","","","","","","","","",""
"group_7501","umuC","Protein UmuC","1","1","1","1","1914","1","2462","","1250","1250","1250","","","","","","","DCPLGDCJ_00094","","","","","","","","","","","","",""
"group_7502","","hypothetical protein","1","1","1","1","1917","1","2459","","887","887","887","","","","","","","DCPLGDCJ_00097","","","","","","","","","","","","",""
"group_7503","","hypothetical protein","1","1","1","1","1918","1","2458","","1079","1079","1079","","","","","","","DCPLGDCJ_00098","","","","","","","","","","","","",""
"group_7504","","hypothetical protein","1","1","1","1","1919","1","2642","","1286","1286","1286","","","","","","","DCPLGDCJ_00099","","","","","","","","","","","","",""
"group_7505","","hypothetical protein","1","1","1","1","1920","1","2643","","338","338","338","","","","","","","DCPLGDCJ_00100","","","","","","","","","","","","",""
"group_7506","","hypothetical protein","1","1","1","1","1927","1","2659","","614","614","614","","","","","","","DCPLGDCJ_00103","","","","","","","","","","","","",""
"group_7507","","TPR repeat-containing protein","1","1","1","1","1928","1","2660","","1466","1466","1466","","","","","","","DCPLGDCJ_00104","","","","","","","","","","","","",""
"group_7508","","hypothetical protein","1","1","1","1","1929","1","2661","","350","350","350","","","","","","","DCPLGDCJ_00105","","","","","","","","","","","","",""
"group_7509","","hypothetical protein","1","1","1","1","1930","1","2662","","887","887","887","","","","","","","DCPLGDCJ_00106","","","","","","","","","","","","",""
"group_7510","","hypothetical protein","1","1","1","1","1125","1","2783","","137","137","137","","","","","","","DCPLGDCJ_00138","","","","","","","","","","","","",""
"group_7511","","hypothetical protein","1","1","1","1","2469","1","2409","","785","785","785","","","","","","","DCPLGDCJ_00163","","","","","","","","","","","","",""
"group_7512","","hypothetical protein","1","1","1","1","7270","1","2868","","1160","1160","1160","","","","","","","DCPLGDCJ_00178","","","","","","","","","","","","",""
"group_7513","","hypothetical protein","1","1","1","1","7271","1","2867","","293","293","293","","","","","","","DCPLGDCJ_00179","","","","","","","","","","","","",""
"group_7514","","hypothetical protein","1","1","1","1","7272","1","2866","","1538","1538","1538","","","","","","","DCPLGDCJ_00180","","","","","","","","","","","","",""
"group_7515","","hypothetical protein","1","1","1","1","7273","1","2865","","293","293","293","","","","","","","DCPLGDCJ_00181","","","","","","","","","","","","",""
"group_7516","","hypothetical protein","1","1","1","1","7274","1","2864","","236","236","236","","","","","","","DCPLGDCJ_00182","","","","","","","","","","","","",""
"group_7517","","hypothetical protein","1","1","1","1","7275","1","2863","","278","278","278","","","","","","","DCPLGDCJ_00183","","","","","","","","","","","","",""
"group_7518","","hypothetical protein","1","1","1","1","7276","1","2862","","218","218","218","","","","","","","DCPLGDCJ_00184","","","","","","","","","","","","",""
"group_752","","hypothetical protein","1","1","1","1","5901","1","2266","","266","266","266","HMOAHFMJ_02941","","","","","","","","","","","","","","","","","","",""
"group_7520","","hypothetical protein","1","1","1","1","1474","1","7263","","203","203","203","","","","","","","","AOPEFJLO_01412","","","","","","","","","","","",""
"group_7521","","hypothetical protein","1","1","1","1","1471","1","7260","","230","230","230","","","","","","","DCPLGDCJ_00188","","","","","","","","","","","","",""
"group_7522","","hypothetical protein","1","1","1","1","5703","1","7052","","245","245","245","","","","","","","DCPLGDCJ_00231","","","","","","","","","","","","",""
"group_7523","","hypothetical protein","1","1","1","1","5769","1","2167","","1322","1322","1322","","","","","","","DCPLGDCJ_00288","","","","","","","","","","","","",""
"group_7524","","hypothetical protein","1","1","1","1","5832","1","1087","","980","980","980","","","","","","","DCPLGDCJ_00323","","","","","","","","","","","","",""
"group_7525","","hypothetical protein","1","1","1","1","6029","1","2256","","152","152","152","","","","","","","DCPLGDCJ_00330","","","","","","","","","","","","",""
"group_7526","","hypothetical protein","1","1","1","1","4698","1","2292","","431","431","431","","","","","","","DCPLGDCJ_00345","","","","","","","","","","","","",""
"group_7527","rsr","60 kDa SS-A/Ro ribonucleoprotein ","1","1","1","1","2314","1","2320","","1574","1574","1574","","","","","","","DCPLGDCJ_00353","","","","","","","","","","","","",""
"group_7528","","hypothetical protein","1","1","1","1","5981","1","955","","170","170","170","","","","","","","DCPLGDCJ_00360","","","","","","","","","","","","",""
"group_7529","","hypothetical protein","1","1","1","1","3982","1","870","","272","272","272","","","","","","","DCPLGDCJ_00395","","","","","","","","","","","","",""
"agp","","Glucose-1-phosphatase","1","1","1","1","444","1","1320","","1265","1265","1265","","","","","","","DCPLGDCJ_00442","","","","","","","","","","","","",""
"group_7531","","hypothetical protein","1","1","1","1","423","1","1143","","206","206","206","","","","","","","DCPLGDCJ_00484","","","","","","","","","","","","",""
"group_7532","","hypothetical protein","1","1","1","1","424","1","1144","","116","116","116","","","","","","","DCPLGDCJ_00485","","","","","","","","","","","","",""
"group_7533","","hypothetical protein","1","1","1","1","858","1","1192","","1055","1055","1055","","","","","","","DCPLGDCJ_00504","","","","","","","","","","","","",""
"group_7534","","hypothetical protein","1","1","1","1","857","1","1193","","1055","1055","1055","","","","","","","DCPLGDCJ_00505","","","","","","","","","","","","",""
"group_7535","","hypothetical protein","1","1","1","1","865","1","1194","","449","449","449","","","","","","","DCPLGDCJ_00506","","","","","","","","","","","","",""
"group_7536","","hypothetical protein","1","1","1","1","317","1","6715","","1277","1277","1277","","","","","","","DCPLGDCJ_00550","","","","","","","","","","","","",""
"group_7537","","hypothetical protein","1","1","1","1","318","1","6725","","488","488","488","","","","","","","DCPLGDCJ_00551","","","","","","","","","","","","",""
"group_7538","","hypothetical protein","1","1","1","1","319","1","6726","","116","116","116","","","","","","","DCPLGDCJ_00552","","","","","","","","","","","","",""
"group_7539","","hypothetical protein","1","1","1","1","320","1","6721","","398","398","398","","","","","","","DCPLGDCJ_00555","","","","","","","","","","","","",""
"group_7540","","hypothetical protein","1","1","1","1","310","1","6724","","464","464","464","","","","","","","DCPLGDCJ_00557","","","","","","","","","","","","",""
"group_7541","","hypothetical protein","1","1","1","1","311","1","6723","","149","149","149","","","","","","","DCPLGDCJ_00558","","","","","","","","","","","","",""
"group_7542","","hypothetical protein","1","1","1","1","312","1","6722","","503","503","503","","","","","","","DCPLGDCJ_00559","","","","","","","","","","","","",""
"group_7543","","hypothetical protein","1","1","1","1","200","1","6474","","524","524","524","","","","","","","DCPLGDCJ_00620","","","","","","","","","","","","",""
"glk_2","","Glucokinase","1","1","1","1","5464","1","6566","","533","533","533","","","","","","","DCPLGDCJ_00634","","","","","","","","","","","","",""
"group_7545","","hypothetical protein","1","1","1","1","5522","1","6571","","1604","1604","1604","","","","","","","DCPLGDCJ_00639","","","","","","","","","","","","",""
"group_7546","","hypothetical protein","1","1","1","1","5545","1","6610","","314","314","314","","","","","","","DCPLGDCJ_00659","","","","","","","","","","","","",""
"group_7547","","hypothetical protein","1","1","1","1","3665","1","4314","","365","365","365","","","","","","","DCPLGDCJ_00703","","","","","","","","","","","","",""
"group_7548","","hypothetical protein","1","1","1","1","3666","1","4313","","437","437","437","","","","","","","DCPLGDCJ_00704","","","","","","","","","","","","",""
"group_7549","","hypothetical protein","1","1","1","1","3832","1","4194","","626","626","626","","","","","","","DCPLGDCJ_00740","","","","","","","","","","","","",""
"norR_2","","Anaerobic nitric oxide reductase transcription regulator NorR","1","1","1","1","2311","1","2315","","944","944","944","HMOAHFMJ_02961","","","","","","","","","","","","","","","","","","",""
"group_7550","","hypothetical protein","1","1","1","1","3831","1","4193","","374","374","374","","","","","","","DCPLGDCJ_00741","","","","","","","","","","","","",""
"group_7551","","hypothetical protein","1","1","1","1","3","1","4694","","1064","1064","1064","","","","","","","DCPLGDCJ_00757","","","","","","","","","","","","",""
"group_7552","","hypothetical protein","1","1","1","1","3248","1","4625","","6197","6197","6197","","","","","","","DCPLGDCJ_00790","","","","","","","","","","","","",""
"group_7553","","hypothetical protein","1","1","1","1","3311","1","4671","","818","818","818","","","","","","","DCPLGDCJ_00794","","","","","","","","","","","","",""
"group_7554","","hypothetical protein","1","1","1","1","3317","1","4655","","521","521","521","","","","","","","DCPLGDCJ_00798","","","","","","","","","","","","",""
"group_7555","","hypothetical protein","1","1","1","1","3316","1","4656","","371","371","371","","","","","","","DCPLGDCJ_00799","","","","","","","","","","","","",""
"group_7556","","hypothetical protein","1","1","1","1","124","1","43","","293","293","293","","","","","","","DCPLGDCJ_00820","","","","","","","","","","","","",""
"group_7557","","hypothetical protein","1","1","1","1","4021","1","3758","","755","755","755","","","","","","","DCPLGDCJ_00834","","","","","","","","","","","","",""
"group_7558","","hypothetical protein","1","1","1","1","4022","1","3757","","419","419","419","","","","","","","DCPLGDCJ_00835","","","","","","","","","","","","",""
"group_7559","","hypothetical protein","1","1","1","1","4023","1","3818","","401","401","401","","","","","","","DCPLGDCJ_00836","","","","","","","","","","","","",""
"group_756","norR","Anaerobic nitric oxide reductase transcription regulator NorR","1","1","1","1","2310","1","2314","","710","710","710","","","","","","","","AOPEFJLO_00853","","","","","","","","","","","",""
"group_7560","","hypothetical protein","1","1","1","1","5192","1","3767","","905","905","905","","","","","","","DCPLGDCJ_00878","","","","","","","","","","","","",""
"group_7561","","hypothetical protein","1","1","1","1","2628","1","5704","","524","524","524","","","","","","","DCPLGDCJ_00897","","","","","","","","","","","","",""
"group_7562","","hypothetical protein","1","1","1","1","2627","1","5703","","1010","1010","1010","","","","","","","DCPLGDCJ_00898","","","","","","","","","","","","",""
"group_7563","","hypothetical protein","1","1","1","1","2626","1","5702","","584","584","584","","","","","","","DCPLGDCJ_00899","","","","","","","","","","","","",""
"group_7564","","hypothetical protein","1","1","1","1","2625","1","5722","","593","593","593","","","","","","","DCPLGDCJ_00900","","","","","","","","","","","","",""
"group_7565","","hypothetical protein","1","1","1","1","2665","1","5664","","359","359","359","","","","","","","DCPLGDCJ_00907","","","","","","","","","","","","",""
"group_7566","","hypothetical protein","1","1","1","1","4402","1","5618","","446","446","446","","","","","","","DCPLGDCJ_00928","","","","","","","","","","","","",""
"group_7567","","IS110 family transposase ISNgo2","1","1","1","1","4369","1","5602","","950","950","950","","","","","","","DCPLGDCJ_00937","","","","","","","","","","","","",""
"group_7568","","IS110 family transposase ISNgo2","1","1","1","1","6968","1","5806","","950","950","950","","","","","","","DCPLGDCJ_01661","","","","","","","","","","","","",""
"group_7569","","hypothetical protein","1","1","1","1","4371","1","5604","","278","278","278","","","","","","","DCPLGDCJ_00939","","","","","","","","","","","","",""
"group_7570","","hypothetical protein","1","1","1","1","6970","1","5808","","278","278","278","","","","","","","DCPLGDCJ_01659","","","","","","","","","","","","",""
"group_7571","","hypothetical protein","1","1","1","1","4372","1","5605","","1781","1781","1781","","","","","","","DCPLGDCJ_00940","","","","","","","","","","","","",""
"group_7572","","hypothetical protein","1","1","1","1","4374","1","5607","","230","230","230","","","","","","","DCPLGDCJ_00942","","","","","","","","","","","","",""
"group_7573","","hypothetical protein","1","1","1","1","6973","1","5811","","230","230","230","","","","","","","DCPLGDCJ_01656","","","","","","","","","","","","",""
"group_7574","","hypothetical protein","1","1","1","1","4375","1","5608","","197","197","197","","","","","","","DCPLGDCJ_00943","","","","","","","","","","","","",""
"group_7575","","hypothetical protein","1","1","1","1","6974","1","5812","","197","197","197","","","","","","","DCPLGDCJ_01655","","","","","","","","","","","","",""
"group_7576","","hypothetical protein","1","1","1","1","4428","1","3922","","1382","1382","1382","","","","","","","DCPLGDCJ_00953","","","","","","","","","","","","",""
"group_7577","","hypothetical protein","1","1","1","1","4427","1","3923","","677","677","677","","","","","","","DCPLGDCJ_00954","","","","","","","","","","","","",""
"group_7578","","hypothetical protein","1","1","1","1","4463","1","3887","","209","209","209","","","","","","","DCPLGDCJ_00969","","","","","","","","","","","","",""
"group_7579","","hypothetical protein","1","1","1","1","4471","1","3891","","512","512","512","","","","","","","DCPLGDCJ_00971","","","","","","","","","","","","",""
"group_7580","","hypothetical protein","1","1","1","1","4715","1","3207","","461","461","461","","","","","","","DCPLGDCJ_00996","","","","","","","","","","","","",""
"group_7581","","hypothetical protein","1","1","1","1","4785","1","3230","","1058","1058","1058","","","","","","","DCPLGDCJ_01005","","","","","","","","","","","","",""
"group_7582","","hypothetical protein","1","1","1","1","4786","1","3239","","659","659","659","","","","","","","DCPLGDCJ_01006","","","","","","","","","","","","",""
"group_7583","","hypothetical protein","1","1","1","1","4954","1","137","","380","380","380","","","","","","","DCPLGDCJ_01053","","","","","","","","","","","","",""
"group_7584","","hypothetical protein","1","1","1","1","5076","1","4753","","728","728","728","","","","","","","DCPLGDCJ_01072","","","","","","","","","","","","",""
"group_7585","","hypothetical protein","1","1","1","1","5077","1","4758","","89","89","89","","","","","","","DCPLGDCJ_01073","","","","","","","","","","","","",""
"group_7587","","hypothetical protein","1","1","1","1","2949","1","1574","","845","845","845","","","","","","","DCPLGDCJ_01169","","","","","","","","","","","","",""
"group_7588","","hypothetical protein","1","1","1","1","2948","1","1573","","431","431","431","","","","","","","DCPLGDCJ_01170","","","","","","","","","","","","",""
"group_7589","","hypothetical protein","1","1","1","1","3093","1","1850","","587","587","587","","","","","","","DCPLGDCJ_01214","","","","","","","","","","","","",""
"group_7590","","hypothetical protein","1","1","1","1","3374","1","1524","","233","233","233","","","","","","","DCPLGDCJ_01219","","","","","","","","","","","","",""
"group_7591","","hypothetical protein","1","1","1","1","3614","1","1482","","395","395","395","","","","","","","DCPLGDCJ_01239","","","","","","","","","","","","",""
"group_7592","","hypothetical protein","1","1","1","1","3615","1","1483","","1121","1121","1121","","","","","","","DCPLGDCJ_01240","","","","","","","","","","","","",""
"group_7596","cas2","CRISPR-associated endoribonuclease Cas2","1","1","1","1","6215","1","6042","","314","314","314","","","","","","","DCPLGDCJ_01332","","","","","","","","","","","","",""
"group_7597","","hypothetical protein","1","1","1","1","2783","1","6127","","992","992","992","","","","","","","DCPLGDCJ_01349","","","","","","","","","","","","",""
"group_7598","","hypothetical protein","1","1","1","1","4201","1","4994","","1142","1142","1142","","","","","","","DCPLGDCJ_01360","","","","","","","","","","","","",""
"group_7599","","hypothetical protein","1","1","1","1","4200","1","4873","","572","572","572","","","","","","","DCPLGDCJ_01361","","","","","","","","","","","","",""
"group_76","","hypothetical protein","1","1","1","1","1790","1","5354","","281","281","281","HMOAHFMJ_00216","","","","","","","","","","","","","","","","","","",""
"group_7600","","hypothetical protein","1","1","1","1","4177","1","5085","","371","371","371","","","","","","","DCPLGDCJ_01367","","","","","","","","","","","","",""
"group_7601","","hypothetical protein","1","1","1","1","4172","1","4868","","200","200","200","","","","","","","DCPLGDCJ_01370","","","","","","","","","","","","",""
"group_7602","","hypothetical protein","1","1","1","1","3547","1","5496","","959","959","959","","","","","","","DCPLGDCJ_01391","","","","","","","","","","","","",""
"group_7603","","hypothetical protein","1","1","1","1","1388","1","5261","","518","518","518","","","","","","","DCPLGDCJ_01417","","","","","","","","","","","","",""
"group_7604","","hypothetical protein","1","1","1","1","4869","1","3185","","521","521","521","","","","","","","DCPLGDCJ_01443","","","","","","","","","","","","",""
"group_7605","","hypothetical protein","1","1","1","1","4868","1","3184","","518","518","518","","","","","","","DCPLGDCJ_01444","","","","","","","","","","","","",""
"group_7606","","hypothetical protein","1","1","1","1","5824","1","3160","","458","458","458","","","","","","","DCPLGDCJ_01453","","","","","","","","","","","","",""
"group_7607","","hypothetical protein","1","1","1","1","4888","1","3557","","1022","1022","1022","","","","","","","DCPLGDCJ_01456","","","","","","","","","","","","",""
"group_7608","","hypothetical protein","1","1","1","1","4895","1","3553","","419","419","419","","","","","","","DCPLGDCJ_01458","","","","","","","","","","","","",""
"group_7609","","hypothetical protein","1","1","1","1","4612","1","3631","","185","185","185","","","","","","","DCPLGDCJ_01488","","","","","","","","","","","","",""
"group_7610","","hypothetical protein","1","1","1","1","2445","1","3092","","1028","1028","1028","","","","","","","DCPLGDCJ_01562","","","","","","","","","","","","",""
"group_7611","","hypothetical protein","1","1","1","1","2525","1","2399","","347","347","347","","","","","","","DCPLGDCJ_01566","","","","","","","","","","","","",""
"group_7612","","hypothetical protein","1","1","1","1","603","1","3450","","389","389","389","","","","","","","DCPLGDCJ_01596","","","","","","","","","","","","",""
"group_7613","pilE_2","Fimbrial protein","1","1","1","1","7046","1","5792","","503","503","503","","","","","","","DCPLGDCJ_01644","","","","","","","","","","","","",""
"group_7614","","hypothetical protein","1","1","1","1","7059","1","5799","","383","383","383","","","","","","","DCPLGDCJ_01647","","","","","","","","","","","","",""
"group_7615","","hypothetical protein","1","1","1","1","6971","1","5809","","1772","1772","1772","","","","","","","DCPLGDCJ_01658","","","","","","","","","","","","",""
"group_7616","ynbD","putative protein YnbD","1","1","1","1","4571","1","5820","","1286","1286","1286","","","","","","","DCPLGDCJ_01669","","","","","","","","","","","","",""
"group_7617","","hypothetical protein","1","1","1","1","471","1","1300","","245","245","245","","","","","","","DCPLGDCJ_01701","","","","","","","","","","","","",""
"group_7618","porB_5","Major outer membrane protein P.IB","1","1","1","1","7225","1","3427","","1061","1061","1061","","","","","","","DCPLGDCJ_01744","","","","","","","","","","","","",""
"group_7619","","hypothetical protein","1","1","1","1","7174","1","5988","","866","866","866","","","","","","","DCPLGDCJ_01777","","","","","","","","","","","","",""
"group_7620","","hypothetical protein","1","1","1","1","913","1","5306","","1613","1613","1613","","","","","","","DCPLGDCJ_01845","","","","","","","","","","","","",""
"group_7621","","hypothetical protein","1","1","1","1","1613","1","7282","","317","317","317","","","","","","","DCPLGDCJ_01873","","","","","","","","","","","","",""
"group_7622","","hypothetical protein","1","1","1","1","3112","1","4466","","617","617","617","","","","","","","DCPLGDCJ_01907","","","","","","","","","","","","",""
"group_7623","","hypothetical protein","1","1","1","1","3118","1","805","","116","116","116","","","","","","","DCPLGDCJ_01929","","","","","","","","","","","","",""
"group_7624","","hypothetical protein","1","1","1","1","3117","1","806","","374","374","374","","","","","","","DCPLGDCJ_01930","","","","","","","","","","","","",""
"group_7625","","hypothetical protein","1","1","1","1","6616","1","418","","413","413","413","","","","","","","DCPLGDCJ_02057","","","","","","","","","","","","",""
"group_7629","","hypothetical protein","1","1","1","1","2020","1","477","","509","509","509","","","","","","","DCPLGDCJ_02100","","","","","","","","","","","","",""
"group_7630","","hypothetical protein","1","1","1","1","2033","1","501","","2330","2330","2330","","","","","","","DCPLGDCJ_02111","","","","","","","","","","","","",""
"group_7631","yffB","Protein YffB","1","1","1","1","2067","1","512","","347","347","347","","","","","","","DCPLGDCJ_02130","","","","","","","","","","","","",""
"group_7632","dnaJ_2","Chaperone protein DnaJ","1","1","1","1","2202","1","634","","632","632","632","","","","","","","DCPLGDCJ_02155","","","","","","","","","","","","",""
"group_7633","","hypothetical protein","1","1","1","1","5826","1","537","","320","320","320","","","","","","","DCPLGDCJ_02159","","","","","","","","","","","","",""
"group_7634","","hypothetical protein","1","1","1","1","5825","1","605","","197","197","197","","","","","","","DCPLGDCJ_02161","","","","","","","","","","","","",""
"group_7635","","hypothetical protein","1","1","1","1","2182","1","615","","1259","1259","1259","","","","","","","DCPLGDCJ_02163","","","","","","","","","","","","",""
"group_7636","","hypothetical protein","1","1","1","1","2183","1","616","","656","656","656","","","","","","","DCPLGDCJ_02164","","","","","","","","","","","","",""
"tnsB","","Transposon Tn7 transposition protein TnsB","1","1","1","1","2185","1","619","","1901","1901","1901","","","","","","","DCPLGDCJ_02166","","","","","","","","","","","","",""
"group_7638","","hypothetical protein","1","1","1","1","2188","1","622","","863","863","863","","","","","","","DCPLGDCJ_02169","","","","","","","","","","","","",""
"group_7639","","hypothetical protein","1","1","1","1","2189","1","623","","1832","1832","1832","","","","","","","DCPLGDCJ_02170","","","","","","","","","","","","",""
"group_7640","","hypothetical protein","1","1","1","1","6877","1","1928","","149","149","149","","","","","","","DCPLGDCJ_02183","","","","","","","","","","","","",""
"group_7641","","hypothetical protein","1","1","1","1","6937","1","2006","","617","617","617","","","","","","","DCPLGDCJ_02215","","","","","","","","","","","","",""
"group_7642","","hypothetical protein","1","1","1","1","1284","1","5137","","245","245","245","","","","","","","DCPLGDCJ_02222","","","","","","","","","","","","",""
"hisD_3","","Histidinol dehydrogenase","1","1","1","1","1286","1","5139","","311","311","311","","","","","","","DCPLGDCJ_02224","","","","","","","","","","","","",""
"group_7644","","hypothetical protein","1","1","1","1","1289","1","5142","","383","383","383","","","","","","","DCPLGDCJ_02227","","","","","","","","","","","","",""
"emrB_3","","Multidrug export protein EmrB","1","1","1","1","1295","1","5148","","461","461","461","","","","","","","DCPLGDCJ_02233","","","","","","","","","","","","",""
"thrB_2","","Homoserine kinase","1","1","1","1","1297","1","5150","","569","569","569","","","","","","","DCPLGDCJ_02235","","","","","","","","","","","","",""
"group_7647","","hypothetical protein","1","1","1","1","1313","1","5166","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","176","176","176","","","","","","","DCPLGDCJ_02249","","","","","","","","","","","","",""
"xthA_3","","Exodeoxyribonuclease III","1","1","1","1","1312","1","5165","","380","380","380","","","","","","","DCPLGDCJ_02250","","","","","","","","","","","","",""
"group_7649","","hypothetical protein","1","1","1","1","1311","1","5164","","275","275","275","","","","","","","DCPLGDCJ_02251","","","","","","","","","","","","",""
"tufA_3","","Elongation factor Tu","1","1","1","1","6220","1","6031","","680","680","680","","","JOFAMBFM_00824","","","","","","","","","","","","","","","","",""
